time,regions,cooling
1950,USA,
1950,CAN,
1950,WEU,
1950,JPK,
1950,ANZ,
1950,EEU,
1950,FSU,
1950,MDE,
1950,CAM,
1950,LAM,
1950,SAS,
1950,SEA,
1950,CHI,
1950,MAF,
1950,SSA,
1950,SIS,
1951,USA,-0.3964242516911444
1951,CAN,-0.01921423421215822
1951,WEU,-0.8705232974464467
1951,JPK,-0.023887489460260466
1951,ANZ,-0.0025918015397609186
1951,EEU,-0.019047402676177612
1951,FSU,-0.13869648758140407
1951,MDE,-0.01935198064390393
1951,CAM,-0.011309780897668934
1951,LAM,-0.05682951593337858
1951,SAS,-0.025412588679289864
1951,SEA,-0.027718851567594648
1951,CHI,-0.08840486301353298
1951,MAF,-0.032442873443484906
1951,SSA,-0.07232655221922041
1951,SIS,-0.0019203347149502397
1952,USA,-0.4232833814251127
1952,CAN,-0.020871401383595965
1952,WEU,-0.9265479378681267
1952,JPK,-0.025703386607953495
1952,ANZ,-0.0027661173200514595
1952,EEU,-0.020424164607159186
1952,FSU,-0.1492950307086796
1952,MDE,-0.0209535823324422
1952,CAM,-0.012390481678159088
1952,LAM,-0.06201170326909099
1952,SAS,-0.027030923163624244
1952,SEA,-0.030335851401282754
1952,CHI,-0.09619580199770979
1952,MAF,-0.03536864812953212
1952,SSA,-0.07699254099768117
1952,SIS,-0.002072286212680271
1953,USA,-0.45196223893631615
1953,CAN,-0.02267149038063957
1953,WEU,-0.9861780224788383
1953,JPK,-0.027657321572270566
1953,ANZ,-0.002952156516755799
1953,EEU,-0.02190043652356625
1953,FSU,-0.16070343973111678
1953,MDE,-0.022687731581039417
1953,CAM,-0.01357444614318593
1953,LAM,-0.06766643468182035
1953,SAS,-0.028752312468120704
1953,SEA,-0.03319992283793923
1953,CHI,-0.10467332370636118
1953,MAF,-0.038558269902130765
1953,SSA,-0.08195953270601117
1953,SIS,-0.0022362609120562403
1954,USA,-0.4824974811408104
1954,CAN,-0.024622406499073178
1954,WEU,-1.0494571515698508
1954,JPK,-0.029754445115801612
1954,ANZ,-0.00315014197614795
1954,EEU,-0.023479195195437667
1954,FSU,-0.17295254551840278
1954,MDE,-0.024560988033651008
1954,CAM,-0.014868871676146585
1954,LAM,-0.0738235446255418
1954,SAS,-0.030577828929187017
1954,SEA,-0.036327869266041736
1954,CHI,-0.1138774870778441
1954,MAF,-0.0420279864166219
1954,SSA,-0.08723128294238638
1954,SIS,-0.0024127769406656614
1955,USA,-0.5149499950659011
1955,CAN,-0.02673363608642959
1955,WEU,-1.1164806787318413
1955,JPK,-0.03200152691943697
1955,ANZ,-0.0033604542349403243
1955,EEU,-0.025164641639226656
1955,FSU,-0.18608263743278197
1955,MDE,-0.026581390795322766
1955,CAM,-0.01628212245550069
1955,LAM,-0.08051811560330632
1955,SAS,-0.032510048881953565
1955,SEA,-0.03973927013251157
1955,CHI,-0.12385594129796537
1955,MAF,-0.0457969690368894
1955,SSA,-0.09281585184173007
1955,SIS,-0.0026024894831518496
1956,USA,-0.5493454610121952
1956,CAN,-0.029013227348285854
1956,WEU,-1.187266425061163
1956,JPK,-0.03440329347313511
1956,ANZ,-0.003583243461201876
1956,EEU,-0.026959309728170584
1956,FSU,-0.20012217841939264
1956,MDE,-0.028755441610294384
1956,CAM,-0.017821920184234428
1956,LAM,-0.08778145702463508
1956,SAS,-0.03454928568800328
1956,SEA,-0.04345205505898592
1956,CHI,-0.1346499783202577
1956,MAF,-0.04988217291726273
1956,SSA,-0.09871485779408161
1956,SIS,-0.0028058940432288504
1957,USA,-0.5857296009450313
1957,CAN,-0.031470612843943105
1957,WEU,-1.2618749264591542
1957,JPK,-0.03696583233700142
1957,ANZ,-0.003818790193322269
1957,EEU,-0.028866752998188024
1957,FSU,-0.21510759286580558
1957,MDE,-0.03109091709257342
1957,CAM,-0.019497059713666314
1957,LAM,-0.0956495910822536
1957,SAS,-0.03669709386105479
1957,SEA,-0.04748669076945198
1957,CHI,-0.1463075982759528
1957,MAF,-0.05430316474164556
1957,SSA,-0.10493347212077055
1957,SIS,-0.0030236025350910216
1958,USA,-0.6243703893874543
1958,CAN,-0.034127765458250345
1958,WEU,-1.3408430016546358
1958,JPK,-0.039709503112507226
1958,ANZ,-0.004068822780253741
1958,EEU,-0.030901573785682018
1958,FSU,-0.23115843906325734
1958,MDE,-0.03360783356711035
1958,CAM,-0.02132442077105669
1958,LAM,-0.10419741489040772
1958,SAS,-0.038968865899520325
1958,SEA,-0.05188322749893762
1958,CHI,-0.15893552054303325
1958,MAF,-0.05910148753825768
1958,SSA,-0.1115164810569903
1958,SIS,-0.003257404024707324
1959,USA,-0.6656195039064157
1959,CAN,-0.03701255971630626
1959,WEU,-1.4248795801416192
1959,JPK,-0.04266060699956985
1959,ANZ,-0.004335611549277745
1959,EEU,-0.03308277068721057
1959,FSU,-0.24842905101227467
1959,MDE,-0.03633173329249684
1959,CAM,-0.023325124978345838
1959,LAM,-0.11351921663112276
1959,SAS,-0.0413849538647578
1959,SEA,-0.05669185628717822
1959,CHI,-0.17266872039380304
1959,MAF,-0.06432951802504323
1959,SSA,-0.11852301330735657
1959,SIS,-0.0035095963596311103
1960,USA,-0.710174225627207
1960,CAN,-0.04017404072340731
1960,WEU,-1.5154217720498606
1960,JPK,-0.04586852081611182
1960,ANZ,-0.004623672675221661
1960,EEU,-0.03544690145039449
1960,FSU,-0.2672084170864132
1960,MDE,-0.039308533683373635
1960,CAM,-0.025534410864835048
1960,LAM,-0.123776145244982
1960,SAS,-0.04398679413509935
1960,SEA,-0.061996831927492925
1960,CHI,-0.1877420255736384
1960,MAF,-0.07007729182951172
1960,SSA,-0.12607281174629614
1960,SIS,-0.00378440702446868
1961,USA,-0.7544060658527246
1961,CAN,-0.04321385035569844
1961,WEU,-1.613518590847645
1961,JPK,-0.04931402002533196
1961,ANZ,-0.00490904308564989
1961,EEU,-0.03782602349002865
1961,FSU,-0.28600225331714163
1961,MDE,-0.04258206908675116
1961,CAM,-0.028014212738563467
1961,LAM,-0.13480825181729136
