rho,eta,year,ssp,discount_factor
0.0,1,2020,SSP1,1.0
0.0,1,2020,SSP2,1.0
0.0,1,2020,SSP3,1.0
0.0,1,2020,SSP4,1.0
0.0,1,2020,SSP5,1.0
0.0,1,2021,SSP1,0.9663612165162802
0.0,1,2021,SSP2,0.9713953100645831
0.0,1,2021,SSP3,0.9785184126359914
0.0,1,2021,SSP4,0.974002928742199
0.0,1,2021,SSP5,0.9621689064039806
0.0,1,2022,SSP1,0.933854000786825
0.0,1,2022,SSP2,0.9436088484154667
0.0,1,2022,SSP3,0.957498283867661
0.0,1,2022,SSP4,0.9486817051983811
0.0,1,2022,SSP5,0.925769004450631
0.0,1,2023,SSP1,0.9024402882489523
0.0,1,2023,SSP2,0.9166172098862264
0.0,1,2023,SSP3,0.9369297008318694
0.0,1,2023,SSP4,0.9240187593073674
0.0,1,2023,SSP5,0.8907461505949661
0.0,1,2024,SSP1,0.8720832947855601
0.0,1,2024,SSP2,0.8903976588079632
0.0,1,2024,SSP3,0.916802963609516
0.0,1,2024,SSP4,0.8999969777781088
0.0,1,2024,SSP5,0.857048249601513
0.0,1,2025,SSP1,0.8427474736524996
0.0,1,2025,SSP2,0.8649281098585401
0.0,1,2025,SSP3,0.8971085806511563
0.0,1,2025,SSP4,0.8765996922150058
0.0,1,2025,SSP5,0.8246251770545335
0.0,1,2026,SSP1,0.8165435428938483
0.0,1,2026,SSP2,0.8443158497011604
0.0,1,2026,SSP3,0.8835402979648479
0.0,1,2026,SSP4,0.8582330429920242
0.0,1,2026,SSP5,0.7939788839877575
0.0,1,2027,SSP1,0.7911543828804944
0.0,1,2027,SSP2,0.8241948040897674
0.0,1,2027,SSP3,0.8701772282249166
0.0,1,2027,SSP4,0.8402512145791294
0.0,1,2027,SSP5,0.7644715268944009
0.0,1,2028,SSP1,0.7665546595748245
0.0,1,2028,SSP2,0.804553266800573
0.0,1,2028,SSP3,0.8570162676964002
0.0,1,2028,SSP4,0.822646144152553
0.0,1,2028,SSP5,0.7360607784643148
0.0,1,2029,SSP1,0.742719826661992
0.0,1,2029,SSP2,0.7853798105829511
0.0,1,2029,SSP3,0.8440543595866489
0.0,1,2029,SSP4,0.8054099378220329
0.0,1,2029,SSP5,0.7087058844355517
0.0,1,2030,SSP1,0.7196261010568844
0.0,1,2030,SSP2,0.7666632805111778
0.0,1,2030,SSP3,0.8312884933353528
0.0,1,2030,SSP4,0.7885348670912843
0.0,1,2030,SSP5,0.6823676051337493
0.0,1,2031,SSP1,0.6997131204139957
0.0,1,2031,SSP2,0.7514765636654236
0.0,1,2031,SSP3,0.8226053331050193
0.0,1,2031,SSP4,0.7754432119339988
0.0,1,2031,SSP5,0.6589266747056299
0.0,1,2032,SSP1,0.6803511575809141
0.0,1,2032,SSP2,0.7365906781942967
0.0,1,2032,SSP3,0.8140128721592166
0.0,1,2032,SSP4,0.7625689110649141
0.0,1,2032,SSP5,0.636290995311121
0.0,1,2033,SSP1,0.6615249651854768
0.0,1,2033,SSP2,0.7219996649746465
0.0,1,2033,SSP3,0.8055101631055243
0.0,1,2033,SSP4,0.7499083558580726
0.0,1,2033,SSP5,0.6144329046853158
0.0,1,2034,SSP1,0.643219717769938
0.0,1,2034,SSP2,0.7076976829266878
0.0,1,2034,SSP3,0.797096268447431
0.0,1,2034,SSP4,0.7374579975997566
0.0,1,2034,SSP5,0.5933256908271016
0.0,1,2035,SSP1,0.6254210001160536
0.0,1,2035,SSP2,0.6936790066757031
0.0,1,2035,SSP3,0.7887702604809788
0.0,1,2035,SSP4,0.7252143464937862
0.0,1,2035,SSP5,0.5729435593553595
0.0,1,2036,SSP1,0.6102254330762249
0.0,1,2036,SSP2,0.681673726849463
0.0,1,2036,SSP3,0.7827451476354217
0.0,1,2036,SSP4,0.7154784835615039
0.0,1,2036,SSP5,0.5554200327691601
0.0,1,2037,SSP1,0.5953990657556559
0.0,1,2037,SSP2,0.6698762185462462
0.0,1,2037,SSP3,0.7767660583110603
0.0,1,2037,SSP4,0.7058733227140538
0.0,1,2037,SSP5,0.5384324647062797
0.0,1,2038,SSP1,0.5809329278781896
