rcp,year,gcm,iam,value
rcp45,2080,IPSL-CM5A-MR,high,21.865981710352784
rcp45,2081,IPSL-CM5A-MR,high,19.164758168933137
rcp45,2082,IPSL-CM5A-MR,high,18.87129427716281
rcp45,2083,IPSL-CM5A-MR,high,24.814229367802472
rcp45,2084,IPSL-CM5A-MR,high,17.926582335258562
rcp45,2085,IPSL-CM5A-MR,high,19.337942127022558
rcp45,2086,IPSL-CM5A-MR,high,18.335185038010625
rcp45,2087,IPSL-CM5A-MR,high,12.601093706945168
rcp45,2088,IPSL-CM5A-MR,high,17.621557046601584
rcp45,2089,IPSL-CM5A-MR,high,21.702307525588594
rcp45,2090,IPSL-CM5A-MR,high,18.130622369255704
rcp45,2091,IPSL-CM5A-MR,high,15.251909651336149
rcp45,2092,IPSL-CM5A-MR,high,17.40527576246251
rcp45,2093,IPSL-CM5A-MR,high,17.29165543310761
rcp45,2094,IPSL-CM5A-MR,high,13.769083934436601
rcp45,2095,IPSL-CM5A-MR,high,17.013767068921222
rcp45,2096,IPSL-CM5A-MR,high,18.343228087283688
rcp45,2097,IPSL-CM5A-MR,high,17.758319627464623
rcp45,2098,IPSL-CM5A-MR,high,19.540959462476565
rcp45,2099,IPSL-CM5A-MR,high,22.036090957182946
rcp45,2080,IPSL-CM5A-MR,low,24.916555649547405
rcp45,2081,IPSL-CM5A-MR,low,21.83250856910922
rcp45,2082,IPSL-CM5A-MR,low,21.510930585424685
rcp45,2083,IPSL-CM5A-MR,low,28.33923619656594
rcp45,2084,IPSL-CM5A-MR,low,20.373302985685456
rcp45,2085,IPSL-CM5A-MR,low,21.9322788828057
rcp45,2086,IPSL-CM5A-MR,low,20.885385424703713
rcp45,2087,IPSL-CM5A-MR,low,14.271481869670783
rcp45,2088,IPSL-CM5A-MR,low,20.14269769546729
rcp45,2089,IPSL-CM5A-MR,low,24.826738745530484
rcp45,2090,IPSL-CM5A-MR,low,20.683408688908898
rcp45,2091,IPSL-CM5A-MR,low,17.41882496154032
rcp45,2092,IPSL-CM5A-MR,low,19.813724215925134
rcp45,2093,IPSL-CM5A-MR,low,19.74750137201931
rcp45,2094,IPSL-CM5A-MR,low,15.633082396130948
rcp45,2095,IPSL-CM5A-MR,low,19.486606225977233
rcp45,2096,IPSL-CM5A-MR,low,21.078301860848086
rcp45,2097,IPSL-CM5A-MR,low,20.46126751334571
rcp45,2098,IPSL-CM5A-MR,low,22.50601860282716
rcp45,2099,IPSL-CM5A-MR,low,25.510315043790044
rcp45,2080,IPSL-CM5A-LR,low,24.812250516169343
rcp45,2081,IPSL-CM5A-LR,low,20.61106716570559
rcp45,2082,IPSL-CM5A-LR,low,16.582932347496786
rcp45,2083,IPSL-CM5A-LR,low,13.854006050677423
rcp45,2084,IPSL-CM5A-LR,low,22.7634611683994
rcp45,2085,IPSL-CM5A-LR,low,22.41188208167597
rcp45,2086,IPSL-CM5A-LR,low,19.615692730446284
rcp45,2087,IPSL-CM5A-LR,low,18.285810257547215
rcp45,2088,IPSL-CM5A-LR,low,22.984532168546444
rcp45,2089,IPSL-CM5A-LR,low,23.36349217973535
rcp45,2090,IPSL-CM5A-LR,low,17.26481815775354
rcp45,2091,IPSL-CM5A-LR,low,26.589165885591648
rcp45,2092,IPSL-CM5A-LR,low,19.143442609571686
rcp45,2093,IPSL-CM5A-LR,low,15.096226758270337
rcp45,2094,IPSL-CM5A-LR,low,20.07199996170318
rcp45,2095,IPSL-CM5A-LR,low,19.651115147566028
rcp45,2096,IPSL-CM5A-LR,low,21.52867370466969
rcp45,2097,IPSL-CM5A-LR,low,25.966956169776783
rcp45,2098,IPSL-CM5A-LR,low,20.692390379310595
rcp45,2099,IPSL-CM5A-LR,low,26.806245715168508
rcp45,2080,surrogate_GFDL-CM3_89,high,26.535729108403235
rcp45,2081,surrogate_GFDL-CM3_89,high,24.40531534129298
rcp45,2082,surrogate_GFDL-CM3_89,high,33.310614676008036
rcp45,2083,surrogate_GFDL-CM3_89,high,32.054796903309615
rcp45,2084,surrogate_GFDL-CM3_89,high,25.747902936732537
rcp45,2085,surrogate_GFDL-CM3_89,high,35.83372055609249
rcp45,2086,surrogate_GFDL-CM3_89,high,28.944643769192602
rcp45,2087,surrogate_GFDL-CM3_89,high,28.672584553209298
rcp45,2088,surrogate_GFDL-CM3_89,high,21.667625669856818
rcp45,2089,surrogate_GFDL-CM3_89,high,34.159695742725454
rcp45,2090,surrogate_GFDL-CM3_89,high,23.10872077200181
rcp45,2091,surrogate_GFDL-CM3_89,high,22.48097649808934
rcp45,2092,surrogate_GFDL-CM3_89,high,28.147796602495845
rcp45,2093,surrogate_GFDL-CM3_89,high,28.84043358956055
rcp45,2094,surrogate_GFDL-CM3_89,high,29.96104890257532
rcp45,2095,surrogate_GFDL-CM3_89,high,30.15190826699251
rcp45,2096,surrogate_GFDL-CM3_89,high,19.852038052441962
rcp45,2097,surrogate_GFDL-CM3_89,high,24.33973110024457
rcp45,2098,surrogate_GFDL-CM3_89,high,29.31121737553768
rcp45,2099,surrogate_GFDL-CM3_89,high,26.255827646970403
rcp45,2080,MPI-ESM-MR,high,5.289995385038834
rcp45,2081,MPI-ESM-MR,high,10.363090729970716
rcp45,2082,MPI-ESM-MR,high,19.5497788753697
rcp45,2083,MPI-ESM-MR,high,0.5941601457493795
rcp45,2084,MPI-ESM-MR,high,10.091140477302504
rcp45,2085,MPI-ESM-MR,high,13.11179425763516
rcp45,2086,MPI-ESM-MR,high,16.24801803235359
rcp45,2087,MPI-ESM-MR,high,4.759026723769242
rcp45,2088,MPI-ESM-MR,high,0.33154151138620486
rcp45,2089,MPI-ESM-MR,high,7.539840728591009
rcp45,2090,MPI-ESM-MR,high,-1.2765835343042633
rcp45,2091,MPI-ESM-MR,high,6.915545143601405
rcp45,2092,MPI-ESM-MR,high,3.166941311554096
rcp45,2093,MPI-ESM-MR,high,3.6342643448127583
rcp45,2094,MPI-ESM-MR,high,4.415978063661118
rcp45,2095,MPI-ESM-MR,high,7.192135287719331
rcp45,2096,MPI-ESM-MR,high,6.5463828802133435
rcp45,2097,MPI-ESM-MR,high,1.206834871014665
rcp45,2098,MPI-ESM-MR,high,14.02943659883136
rcp45,2099,MPI-ESM-MR,high,10.975856050449414
rcp45,2080,CanESM2,low,20.47383137273126
rcp45,2081,CanESM2,low,21.49708601793202
rcp45,2082,CanESM2,low,26.162259291676506
rcp45,2083,CanESM2,low,15.486791362517236
rcp45,2084,CanESM2,low,20.883099530014828
rcp45,2085,CanESM2,low,19.76612047848677
rcp45,2086,CanESM2,low,16.898920902271463
rcp45,2087,CanESM2,low,19.8890447183323
rcp45,2088,CanESM2,low,11.91550742467673
rcp45,2089,CanESM2,low,28.103735340262265
rcp45,2090,CanESM2,low,18.14083301018983
rcp45,2091,CanESM2,low,16.943358477096822
rcp45,2092,CanESM2,low,22.339106261831056
rcp45,2093,CanESM2,low,17.972872286440595
rcp45,2094,CanESM2,low,14.96122121086326
rcp45,2095,CanESM2,low,21.734951378173324
rcp45,2096,CanESM2,low,15.429336173929872
rcp45,2097,CanESM2,low,24.720499513309413
rcp45,2098,CanESM2,low,24.14375396241002
rcp45,2099,CanESM2,low,26.22802098726665
rcp45,2080,surrogate_GFDL-ESM2G_11,low,8.364222535858469
rcp45,2081,surrogate_GFDL-ESM2G_11,low,11.349762887900622
rcp45,2082,surrogate_GFDL-ESM2G_11,low,22.985620634233335
rcp45,2083,surrogate_GFDL-ESM2G_11,low,15.780099981563547
rcp45,2084,surrogate_GFDL-ESM2G_11,low,14.569178986232684
rcp45,2085,surrogate_GFDL-ESM2G_11,low,13.08330696636674
rcp45,2086,surrogate_GFDL-ESM2G_11,low,9.421572191508249
rcp45,2087,surrogate_GFDL-ESM2G_11,low,9.893202388950877
rcp45,2088,surrogate_GFDL-ESM2G_11,low,14.371344023875707
rcp45,2089,surrogate_GFDL-ESM2G_11,low,7.708974753751037
rcp45,2090,surrogate_GFDL-ESM2G_11,low,5.908218600139877
rcp45,2091,surrogate_GFDL-ESM2G_11,low,14.716100061300489
rcp45,2092,surrogate_GFDL-ESM2G_11,low,8.981216022117684
rcp45,2093,surrogate_GFDL-ESM2G_11,low,8.806510469163852
rcp45,2094,surrogate_GFDL-ESM2G_11,low,3.0270125680780477
rcp45,2095,surrogate_GFDL-ESM2G_11,low,16.956483886709837
rcp45,2096,surrogate_GFDL-ESM2G_11,low,8.768546482719433
rcp45,2097,surrogate_GFDL-ESM2G_11,low,13.20218321905636
rcp45,2098,surrogate_GFDL-ESM2G_11,low,25.28829061463589
rcp45,2099,surrogate_GFDL-ESM2G_11,low,4.218376204967509
rcp45,2080,GFDL-CM3,low,31.128060016849656
rcp45,2081,GFDL-CM3,low,28.15930001533268
rcp45,2082,GFDL-CM3,low,38.155155965128486
rcp45,2083,GFDL-CM3,low,36.70219670374274
rcp45,2084,GFDL-CM3,low,29.41214075460073
rcp45,2085,GFDL-CM3,low,40.95700245818526
rcp45,2086,GFDL-CM3,low,32.95181171064827
rcp45,2087,GFDL-CM3,low,32.308013248874815
rcp45,2088,GFDL-CM3,low,24.361746748905528
rcp45,2089,GFDL-CM3,low,38.428862862097965
rcp45,2090,GFDL-CM3,low,25.937359009313145
rcp45,2091,GFDL-CM3,low,25.226558226776202
rcp45,2092,GFDL-CM3,low,31.667467342057055
rcp45,2093,GFDL-CM3,low,32.74759227633591
rcp45,2094,GFDL-CM3,low,33.50788108335303
rcp45,2095,GFDL-CM3,low,34.27230154578585
rcp45,2096,GFDL-CM3,low,21.78212860206402
rcp45,2097,GFDL-CM3,low,27.06476585009613
rcp45,2098,GFDL-CM3,low,33.736946877590725
rcp45,2099,GFDL-CM3,low,29.36823398678177
rcp45,2080,CCSM4,high,6.918467695374226
rcp45,2081,CCSM4,high,11.752087357929529
rcp45,2082,CCSM4,high,11.180935905796355
rcp45,2083,CCSM4,high,10.44839655274257
rcp45,2084,CCSM4,high,5.110372473336483
rcp45,2085,CCSM4,high,12.894026013399692
rcp45,2086,CCSM4,high,17.349781135237528
rcp45,2087,CCSM4,high,10.886717053914277
rcp45,2088,CCSM4,high,11.381445528384306
rcp45,2089,CCSM4,high,7.616735750901345
rcp45,2090,CCSM4,high,14.131825923637177
rcp45,2091,CCSM4,high,9.800908904443634
rcp45,2092,CCSM4,high,5.604532392794521
rcp45,2093,CCSM4,high,10.835627268702149
rcp45,2094,CCSM4,high,8.156927222822755
rcp45,2095,CCSM4,high,7.856609149378034
rcp45,2096,CCSM4,high,9.26978823934948
rcp45,2097,CCSM4,high,5.625066140370142
rcp45,2098,CCSM4,high,2.9984474458702723
rcp45,2099,CCSM4,high,6.969737659210962
rcp45,2080,CCSM4,low,7.851779739590989
rcp45,2081,CCSM4,low,13.437210863248739
rcp45,2082,CCSM4,low,12.753058616037938
rcp45,2083,CCSM4,low,11.879250659887088
rcp45,2084,CCSM4,low,5.741849519100474
rcp45,2085,CCSM4,low,14.789161131538139
rcp45,2086,CCSM4,low,19.901797317745796
rcp45,2087,CCSM4,low,12.48124184343072
rcp45,2088,CCSM4,low,12.999963261576056
rcp45,2089,CCSM4,low,8.665115779945031
rcp45,2090,CCSM4,low,16.286370006030694
rcp45,2091,CCSM4,low,11.264194774863142
rcp45,2092,CCSM4,low,6.297971427689291
rcp45,2093,CCSM4,low,12.384640805584816
rcp45,2094,CCSM4,low,9.325566171193723
rcp45,2095,CCSM4,low,9.053639267807316
rcp45,2096,CCSM4,low,10.627263336869074
rcp45,2097,CCSM4,low,6.346642227306229
rcp45,2098,CCSM4,low,3.3077328109929054
rcp45,2099,CCSM4,low,8.061825987178244
rcp45,2080,bcc-csm1-1,low,11.837777276387103
rcp45,2081,bcc-csm1-1,low,18.01166945309082
rcp45,2082,bcc-csm1-1,low,11.544482666909875
rcp45,2083,bcc-csm1-1,low,24.04946450346299
rcp45,2084,bcc-csm1-1,low,16.397225780419667
rcp45,2085,bcc-csm1-1,low,16.82686540777029
rcp45,2086,bcc-csm1-1,low,16.825904973978638
rcp45,2087,bcc-csm1-1,low,3.928574648048583
rcp45,2088,bcc-csm1-1,low,26.820668566540583
rcp45,2089,bcc-csm1-1,low,27.112831903314273
rcp45,2090,bcc-csm1-1,low,10.021454545750029
rcp45,2091,bcc-csm1-1,low,9.223016903807528
rcp45,2092,bcc-csm1-1,low,12.784990315527562
rcp45,2093,bcc-csm1-1,low,10.50384564886803
rcp45,2094,bcc-csm1-1,low,14.823823140380373
rcp45,2095,bcc-csm1-1,low,19.98063149791019
rcp45,2096,bcc-csm1-1,low,17.220749112426027
rcp45,2097,bcc-csm1-1,low,14.928450883002075
rcp45,2098,bcc-csm1-1,low,11.682693681554333
rcp45,2099,bcc-csm1-1,low,13.029263497006049
rcp45,2080,CanESM2,high,17.948941996671476
rcp45,2081,CanESM2,high,18.860493288553666
rcp45,2082,CanESM2,high,22.870426952439352
rcp45,2083,CanESM2,high,13.66577503708229
rcp45,2084,CanESM2,high,18.343176329709014
rcp45,2085,CanESM2,high,17.33679893455293
rcp45,2086,CanESM2,high,14.941507412233756
rcp45,2087,CanESM2,high,17.479995410017843
rcp45,2088,CanESM2,high,10.598061557577367
rcp45,2089,CanESM2,high,24.509239103068204
rcp45,2090,CanESM2,high,15.899404304419626
rcp45,2091,CanESM2,high,14.881849997217312
rcp45,2092,CanESM2,high,19.568659493793398
rcp45,2093,CanESM2,high,15.70401868172418
rcp45,2094,CanESM2,high,13.10449332636886
rcp45,2095,CanESM2,high,18.931097625190546
rcp45,2096,CanESM2,high,13.47312556105991
rcp45,2097,CanESM2,high,21.42003572289767
rcp45,2098,CanESM2,high,20.830742657109987
rcp45,2099,CanESM2,high,22.619760737602157
rcp45,2080,GFDL-CM3,high,27.323724173212323
rcp45,2081,GFDL-CM3,high,24.733555653386397
rcp45,2082,GFDL-CM3,high,33.470016331356284
rcp45,2083,GFDL-CM3,high,32.19261214762745
rcp45,2084,GFDL-CM3,high,25.905763539481537
rcp45,2085,GFDL-CM3,high,35.84491459094538
rcp45,2086,GFDL-CM3,high,28.91595800902882
rcp45,2087,GFDL-CM3,high,28.36815155800081
rcp45,2088,GFDL-CM3,high,21.50603891088615
rcp45,2089,GFDL-CM3,high,33.6085943188798
rcp45,2090,GFDL-CM3,high,22.78300724135459
rcp45,2091,GFDL-CM3,high,22.188880874232893
rcp45,2092,GFDL-CM3,high,27.701726085537754
rcp45,2093,GFDL-CM3,high,28.569963292204193
rcp45,2094,GFDL-CM3,high,29.248687998858998
rcp45,2095,GFDL-CM3,high,29.827956439657623
rcp45,2096,GFDL-CM3,high,19.114014731401145
rcp45,2097,GFDL-CM3,high,23.579805374559555
rcp45,2098,GFDL-CM3,high,29.231664037493637
rcp45,2099,GFDL-CM3,high,25.42592801525729
rcp45,2080,MIROC-ESM-CHEM,high,22.886059296609027
rcp45,2081,MIROC-ESM-CHEM,high,23.83436157974577
rcp45,2082,MIROC-ESM-CHEM,high,25.865777894387342
rcp45,2083,MIROC-ESM-CHEM,high,27.001198986995828
rcp45,2084,MIROC-ESM-CHEM,high,17.984551597200372
rcp45,2085,MIROC-ESM-CHEM,high,20.80876709138279
rcp45,2086,MIROC-ESM-CHEM,high,23.66046780348942
rcp45,2087,MIROC-ESM-CHEM,high,21.59636015939011
rcp45,2088,MIROC-ESM-CHEM,high,26.96475075809537
rcp45,2089,MIROC-ESM-CHEM,high,24.05788464363723
rcp45,2090,MIROC-ESM-CHEM,high,26.972253660649294
rcp45,2091,MIROC-ESM-CHEM,high,21.038547373643784
rcp45,2092,MIROC-ESM-CHEM,high,18.39567641154227
rcp45,2093,MIROC-ESM-CHEM,high,23.935992442047564
rcp45,2094,MIROC-ESM-CHEM,high,19.469067023793343
rcp45,2095,MIROC-ESM-CHEM,high,20.65174978686172
rcp45,2096,MIROC-ESM-CHEM,high,29.055501878509755
rcp45,2097,MIROC-ESM-CHEM,high,21.702900597346485
rcp45,2098,MIROC-ESM-CHEM,high,23.235944392937373
rcp45,2099,MIROC-ESM-CHEM,high,23.21305820521971
rcp45,2080,MIROC-ESM,low,25.188874431713476
rcp45,2081,MIROC-ESM,low,25.230297225102877
rcp45,2082,MIROC-ESM,low,28.04640078963091
rcp45,2083,MIROC-ESM,low,32.50853765934124
rcp45,2084,MIROC-ESM,low,27.487778562115277
rcp45,2085,MIROC-ESM,low,21.116579116823416
rcp45,2086,MIROC-ESM,low,29.984733635730777
rcp45,2087,MIROC-ESM,low,29.723174980930693
