gdp,year,rcp,gcm,iam,price014,anomaly,_merge,p_price014,t,p_yh_1,d_yh_1,p_yh_2,d_yh_2,p_yh_3,d_yh_3,p_yh_4,d_yh_4,p_yh_5,d_yh_5
865.1745130996759,2010,rcp45,ACCESS1-0,low,-4.0064692,.155819,matched (3),-.0046308222,0,,,,,,,,,,
891.6662592910683,2011,rcp85,CNRM-CM5,high,8.3201771,.11975342,matched (3),.0093310438,1,,,,,,,,,,
919.5152515947354,2012,rcp45,surrogate_CanESM2_99,low,-8.1731853,.206,matched (3),-.0088885808,2,,,,,,,,,,
982.9932826962471,2013,rcp45,MIROC5,low,-14.839348,.17592943,matched (3),-.015096082,3,-10.877993,-11.513783,,,,,,,,
1014.911684701793,2014,rcp45,surrogate_GFDL-CM3_94,high,-18.108952,.24600001,matched (3),-.017842883,4,-16.60203,-17.895321,-14.659341,-15.272987,,,,,,
1048.529500766188,2015,rcp85,IPSL-CM5A-LR,high,-26.743263,.25584835,matched (3),-.025505494,5,-17.489237,-18.841158,-17.721781,-18.522469,-15.700418,-15.873804,,,,
1084.760825469139,2016,rcp85,surrogate_GFDL-CM3_94,high,-28.238695,.33700001,matched (3),-.026032185,6,-22.956646,-25.011076,-22.832235,-24.191103,-23.197767,-23.91077,-21.538841,-21.504515,,
1122.771034192162,2017,rcp85,IPSL-CM5A-LR,low,-14.899253,.32023275,matched (3),-.013270073,7,-22.520159,-24.356537,-22.812143,-23.92214,-22.625874,-23.063763,-22.969608,-22.765223,-21.076225,-20.241726
1197.577963424795,2018,rcp45,BNU-ESM,low,-20.77285,.40293303,matched (3),-.017345719,8,-28.373598,-30.254869,-28.852449,-29.8064,-29.407846,-29.518639,-29.390303,-28.734976,-29.981464,-28.578184
1240.789349797077,2019,rcp45,surrogate_GFDL-ESM2G_11,high,-3.8985178,.198,matched (3),-.0031419659,9,-11.132859,-11.917635,-16.606316,-16.777328,-19.191183,-18.458445,-17.835691,-16.686787,-16.774782,-15.191014
1286.186638713155,2020,rcp85,ACCESS1-0,high,-26.406002,.46232533,matched (3),-.020530459,10,-34.680428,-36.953995,-34.434071,-35.551052,-34.675289,-34.757599,-35.308804,-34.44696,-35.637863,-33.887001
1321.909951548465,2021,rcp45,MPI-ESM-LR,low,2.6986072,.34973568,matched (3),.0020414456,11,-27.424503,-29.165808,-26.908403,-27.648312,-26.242931,-26.0298,-27.591818,-26.449478,-28.303429,-26.165607
1358.942965038444,2022,rcp85,IPSL-CM5A-MR,low,-22.506283,.52136564,matched (3),-.016561609,12,-43.087593,-46.434277,-42.517303,-44.523064,-40.933971,-41.592033,-40.779598,-40.220341,-41.21978,-39.499435
