time_cut,discrate,growth_rate,rcp26,rcp45,rcp60,rcp85
all,1.0,MERGEETL60,-46.392337356017855,-38.76794445542444,-31.75507427778567,-12.508118476614424
all,1.0,REMIND17,-10.669736317387628,-8.120115478076798,-6.360324213525626,-3.864190116801768
all,1.0,REMIND17CEMICS,10.992380910285254,12.037382975593765,11.702217414620591,6.323812024878764
all,1.0,REMINDMAgPIE1730,-7.0435813936691805,-3.1561251675975592,-0.8337510877547345,1.5330267249410259
all,1.0,WITCHGLOBIOM42,20.87132145837618,15.004045470798559,10.161086348875621,-2.986395760623968
all,1.0,price0,-0.6814767082836776,-1.5474464377005874,-2.11294978957776,-2.8153253105838676
all,1.0,price014,4.950785728467084,-2.0503385382835315,-6.623739495952378,-13.662328905045936
all,1.0,price03,35.20213558282928,-10.538792198257639,-39.88270305140371,-84.04321011374006
all,2.0,MERGEETL60,-7.380746997174375,-6.35457780327921,-5.380360061760571,-2.8027540780164975
all,2.0,REMIND17,-5.026068088372078,-4.7374217941955035,-4.543759349001981,-4.1157080314115335
all,2.0,REMIND17CEMICS,-1.9175102929017531,-1.8277484956131858,-1.9339009045983806,-2.5024323397494297
all,2.0,REMINDMAgPIE1730,-4.398745964491698,-3.9125994633089074,-3.659263238050589,-3.1929875877993164
all,2.0,WITCHGLOBIOM42,-0.15564854067625422,-1.1236052241596224,-1.8580182396526115,-3.701041996636687
all,2.0,price0,-0.7153201906829586,-0.8286274474937713,-0.9246383917720398,-1.012357129618573
all,2.0,price014,-0.4194210657631583,-1.3934147262638703,-2.0617592456593945,-3.076263845929125
all,2.0,price03,2.3058384383237946,-4.029359069920322,-8.149953231827958,-14.592216895659671
all,2.5,MERGEETL60,-3.4637107857210303,-3.0392517885024306,-2.642187834368549,-1.5975985593669018
all,2.5,REMIND17,-3.838420334792989,-3.7032008304794113,-3.63556842062177,-3.397139113026525
all,2.5,REMIND17CEMICS,-2.5141858462792444,-2.4573591258424656,-2.514534221051635,-2.657609929353335
all,2.5,REMINDMAgPIE1730,-3.5328824739322204,-3.307444303395628,-3.223306003965559,-2.943069719788223
all,2.5,WITCHGLOBIOM42,-1.5846474789244178,-2.013473425501484,-2.324133049753444,-3.0754844749134542
all,2.5,price0,-0.6556974122143625,-0.6919068711574202,-0.737476846857273,-0.757392316635239
all,2.5,price014,-0.7787439684942078,-1.1658267842151753,-1.4490585222242667,-1.8528483821554897
all,2.5,price03,-0.31508999939666005,-2.8891463686268053,-4.58496082408962,-7.259235109177881
all,3.0,MERGEETL60,-1.8486585482759055,-1.6544082474059951,-1.483385099591649,-1.0243631201625252
all,3.0,REMIND17,-3.0696269391583764,-2.981874225935012,-2.9586198083335282,-2.7971819898550114
all,3.0,REMIND17CEMICS,-2.449177961774351,-2.393727827648916,-2.426017988157147,-2.4169218477053667
all,3.0,REMINDMAgPIE1730,-2.903447040783639,-2.76781534983245,-2.743258077764295,-2.5431325092986516
all,3.0,WITCHGLOBIOM42,-1.874217991030683,-2.07140435887465,-2.209407386710764,-2.528831775309245
all,3.0,price0,-0.5942019291962346,-0.59964457607666,-0.6237369329282404,-0.6162044860089894
all,3.0,price014,-0.8364160009080661,-0.991239947893843,-1.1201849633914458,-1.277668530943162
all,3.0,price03,-1.1012636375732239,-2.2004112860221614,-2.9423494744330023,-4.101248466570372
all,5.0,MERGEETL60,-0.4626058715481983,-0.43585103687306676,-0.4279668224937524,-0.3825487002030953
all,5.0,REMIND17,-1.6427163409313659,-1.5925436376700832,-1.5971137463220864,-1.5221602256478755
all,5.0,REMIND17CEMICS,-1.5478021911131166,-1.4980638405365507,-1.5072427273721267,-1.4349375009498844
all,5.0,REMINDMAgPIE1730,-1.6056181199971529,-1.5419568917984854,-1.5522955574123616,-1.4527372491075805
all,5.0,WITCHGLOBIOM42,-1.3272555618867437,-1.3303498004621734,-1.3391387717886711,-1.3416487908907864
all,5.0,price0,-0.409707899495522,-0.39671328034406567,-0.4020080769024525,-0.38130368434834694
all,5.0,price014,-0.6062937101983293,-0.5962405466377921,-0.6082524638474079,-0.590121951325719
all,5.0,price03,-1.0036350268765515,-1.0388420667753282,-1.0858397292575042,-1.11728055904125
post2100,1.0,MERGEETL60,-45.15897966695213,-37.61325027810756,-30.61331523050763,-11.474060358618612
post2100,1.0,REMIND17,-5.48658849565243,-3.1338318406648895,-1.4188310561823623,0.8016332554168271
post2100,1.0,REMIND17CEMICS,16.033054568577096,16.882336316175476,16.50657619716711,10.848656132544496
post2100,1.0,REMINDMAgPIE1730,-2.0057136417071324,1.6568392546127986,3.9517211097662788,5.988397871586692
post2100,1.0,WITCHGLOBIOM42,25.38705458425271,19.505528337764638,14.610893631416605,1.4406449900897806
post2100,1.0,price0,0.31457186560978556,-0.5953906320469866,-1.1560732839193006,-1.926101065539755
post2100,1.0,price014,6.74690631494477,-0.32053939505842033,-4.894140054627225,-12.031165467466192
post2100,1.0,price03,39.101943238051746,-6.730018045113702,-36.0913050705552,-80.38723472491087
post2100,2.0,MERGEETL60,-6.518505314490307,-5.545689266258172,-4.575954900222428,-2.0719606576481677
post2100,2.0,REMIND17,-1.4291835350821642,-1.2812521223367161,-1.104508829188259,-0.8740572056455553
post2100,2.0,REMIND17CEMICS,1.5681096520588855,1.5170132328174128,1.3972230742960843,0.626577449946611
post2100,2.0,REMINDMAgPIE1730,-0.8889165333823051,-0.5660137011168376,-0.31683278824929784,-0.09230543101451849
post2100,2.0,WITCHGLOBIOM42,2.9169070592277566,1.9298994316029898,1.169575707711393,-0.7007507465426654
post2100,2.0,price0,0.04236065974300417,-0.10455414930364715,-0.1952626461290964,-0.3348838239115256
post2100,2.0,price014,0.8673430194947103,-0.15810026543480957,-0.8234850738553038,-1.9139801735313136
post2100,2.0,price03,4.898746433983242,-1.5145172676409937,-5.641821489164329,-12.196241204409457
post2100,2.5,MERGEETL60,-2.7294363769534113,-2.3493430048843367,-1.954400498692294,-0.9711701867189013
post2100,2.5,REMIND17,-0.7845560295643819,-0.7688843662414432,-0.7102005173606996,-0.6398461398864942
post2100,2.5,REMIND17CEMICS,0.43993148771432833,0.3766652658709846,0.31344813310531916,-0.0023355304101430052
post2100,2.5,REMINDMAgPIE1730,-0.5479850077557681,-0.4622964946272753,-0.3759845156782398,-0.303616468075748
post2100,2.5,WITCHGLOBIOM42,1.0030069004458626,0.5548687631948134,0.22624686258006133,-0.552388159684767
post2100,2.5,price0,0.0149797040018828,-0.0506417269459242,-0.09096466749080775,-0.1563481097570077
post2100,2.5,price014,0.3297582059228038,-0.10240878731452252,-0.3818984286263251,-0.852149142406958
post2100,2.5,price03,1.8399834979228422,-0.804270248755371,-2.5034824552455035,-5.277574252413585
post2100,3.0,MERGEETL60,-1.216239185780824,-1.059114040927926,-0.8886280886521792,-0.48099622586696
post2100,3.0,REMIND17,-0.4458690141570525,-0.46005097774528503,-0.4402921528891181,-0.42222132295500253
post2100,3.0,REMIND17CEMICS,0.08437948945444955,0.03706757539732444,0.003862171706743328,-0.13505885458730582
post2100,3.0,REMINDMAgPIE1730,-0.33528811725735924,-0.3197185246854025,-0.288886256869334,-0.26802888330308694
post2100,3.0,WITCHGLOBIOM42,0.3339678272506156,0.11789551980612727,-0.03227689478496232,-0.37818306901781007
post2100,3.0,price0,0.004671700878325676,-0.026551868426137194,-0.04557194491896826,-0.07788434860867306
post2100,3.0,price014,0.12889730677672928,-0.06538411496234565,-0.1901558359267158,-0.40566409905559747
post2100,3.0,price03,0.7122216811860267,-0.44936673439780134,-1.1923413008624861,-2.4392813006356637
post2100,5.0,MERGEETL60,-0.0789861614427972,-0.07153586557586333,-0.061969509071915216,-0.04272373299207745
post2100,5.0,REMIND17,-0.05803423735455064,-0.06383998643483021,-0.06364957457778926,-0.06619558012571725
post2100,5.0,REMIND17CEMICS,-0.02798314437956574,-0.03543631016495152,-0.03819718665221393,-0.047551211279026076
post2100,5.0,REMINDMAgPIE1730,-0.04938858131974602,-0.053585187892150554,-0.05296738742696816,-0.05499768783976553
post2100,5.0,WITCHGLOBIOM42,-0.012473251063326668,-0.030480257007163315,-0.040507584377300614,-0.06332461264933749
post2100,5.0,price0,-0.000652027792373821,-0.003189891871183238,-0.004647290378828252,-0.007483530058427229
post2100,5.0,price014,0.0024249141777128082,-0.0107782650825891,-0.018801007160439254,-0.03403574635127556
post2100,5.0,price03,0.014378779768761448,-0.05807224815447185,-0.10234859693609877,-0.18442065003765643
pre2100,1.0,MERGEETL60,-1.2333576890657303,-1.154694177316891,-1.1417590472780406,-1.0340581179958148
pre2100,1.0,REMIND17,-5.183147821735199,-4.9862836374119075,-4.941493157343264,-4.665823372218594
pre2100,1.0,REMIND17CEMICS,-5.040673658291842,-4.844953340581709,-4.80435878254652,-4.524844107665734
pre2100,1.0,REMINDMAgPIE1730,-5.0378677519620485,-4.812964422210358,-4.785472197521013,-4.455371146645666
pre2100,1.0,WITCHGLOBIOM42,-4.515733125876529,-4.501482866966075,-4.4498072825409825,-4.427040750713749
pre2100,1.0,price0,-0.9960485738934632,-0.9520558056536007,-0.956876505658459,-0.8892242450441128
pre2100,1.0,price014,-1.7961205864776857,-1.7297991432251112,-1.7295994413251532,-1.6311634375797444
pre2100,1.0,price03,-3.899807655222472,-3.8087741531439354,-3.791397980848516,-3.6559753888291873
pre2100,2.0,MERGEETL60,-0.8622416826840695,-0.8088885370210377,-0.8044051615381449,-0.73079342036833
pre2100,2.0,REMIND17,-3.5968845532899136,-3.4561696718587873,-3.4392505198137213,-3.241650825765978
pre2100,2.0,REMIND17CEMICS,-3.4856199449606384,-3.344761728430598,-3.331123978894465,-3.129009789696041
pre2100,2.0,REMINDMAgPIE1730,-3.5098294311093934,-3.3465857621920696,-3.3424304498012916,-3.1006821567847975
pre2100,2.0,WITCHGLOBIOM42,-3.0725555999040104,-3.0535046557626124,-3.0275939473640046,-3.000291250094022
pre2100,2.0,price0,-0.7576808504259629,-0.724073298190124,-0.7293757456429433,-0.6774733057070473
pre2100,2.0,price014,-1.2867640852578686,-1.2353144608290607,-1.2382741718040906,-1.1622836723978116
pre2100,2.0,price03,-2.5929079956594476,-2.5148418022793284,-2.508131742663628,-2.395975691250213
pre2100,2.5,MERGEETL60,-0.7342744087676183,-0.6899087836180942,-0.6877873356762552,-0.6264283726480009
pre2100,2.5,REMIND17,-3.0538643052286076,-2.934316464237968,-2.92536790326107,-2.7572929731400313
pre2100,2.5,REMIND17CEMICS,-2.954117333993572,-2.8340243917134504,-2.827982354156954,-2.6552743989431917
pre2100,2.5,REMINDMAgPIE1730,-2.9848974661764522,-2.8451478087683526,-2.847321488287319,-2.639453251712475
pre2100,2.5,WITCHGLOBIOM42,-2.58765437937028,-2.568342188696298,-2.550379912333505,-2.523096315228687
pre2100,2.5,price0,-0.6706771162162453,-0.6412651442114962,-0.6465121793664652,-0.6010442068782315
pre2100,2.5,price014,-1.1085021744170114,-1.063417996900653,-1.0671600935979413,-1.0006992397485317
pre2100,2.5,price03,-2.1550734973195027,-2.084876119871434,-2.081478368844116,-1.9816608567642962
pre2100,3.0,MERGEETL60,-0.6324193624950818,-0.5952942064780691,-0.59475701093947,-0.5433668942955653
pre2100,3.0,REMIND17,-2.623757925001324,-2.521823248189727,-2.51832765544441,-2.3749606669000087
pre2100,3.0,REMIND17CEMICS,-2.5335574512288006,-2.4307954030462398,-2.42988015986389,-2.281862993118061
