time_cut,discrate,growth_rate,rcp26,rcp45,rcp60,rcp85
all,1.0,MERGEETL60,-2.842688027410248,-2.849145196282772,-2.788891925965952,-2.432467453177598
all,1.0,REMIND17,-10.503701509475858,-11.027895766265535,-11.087592830886585,-10.385667579929628
all,1.0,REMIND17CEMICS,-10.25223443029461,-10.75393361995591,-10.81041784688249,-10.105389508455476
all,1.0,REMINDMAgPIE1730,-9.996507889135643,-10.466611659016671,-10.550107804896651,-9.843411420187351
all,1.0,WITCHGLOBIOM42,-9.654579745020335,-10.647216919755955,-10.880761229098997,-10.726065245336112
all,1.0,price0,-1.292808601877073,-1.3803389326073858,-1.445146130041333,-1.4359096059645582
all,1.0,price014,-2.8237470201607895,-3.2190617493016034,-3.4303245039939934,-3.5399035520742235
all,1.0,price03,-8.071099458188982,-9.873170863938697,-10.72567027800962,-11.452211126356852
all,2.0,MERGEETL60,-1.2760931888120182,-1.2397324946645045,-1.2198231629489567,-1.1014440593318682
all,2.0,REMIND17,-4.967735735694232,-4.985929639385309,-4.978298113758028,-4.736254295058985
all,2.0,REMIND17CEMICS,-4.828316418439668,-4.841040897290612,-4.835281615202104,-4.58754869845396
all,2.0,REMINDMAgPIE1730,-4.787390499953104,-4.777631822788931,-4.785271844940461,-4.5075302776435135
all,2.0,WITCHGLOBIOM42,-4.398730449096205,-4.605688021409705,-4.63133013703944,-4.634230647717084
all,2.0,price0,-0.8345216859815277,-0.83112173337484,-0.8494545845254508,-0.8165786777111566
all,2.0,price014,-1.5533418629758557,-1.60793046120593,-1.6568798400478573,-1.6482477123286055
all,2.0,price03,-3.6758398228610503,-4.032680375831651,-4.2153126809013415,-4.381140172109114
all,2.5,MERGEETL60,-0.9608575112765914,-0.9248104841931318,-0.913665351308086,-0.8315823892789733
all,2.5,REMIND17,-3.8048650904574512,-3.767071075094555,-3.759885781308571,-3.580124316784617
all,2.5,REMIND17CEMICS,-3.6896742369556055,-3.648567644747751,-3.6436130971451344,-3.458316136106357
all,2.5,REMINDMAgPIE1730,-3.684721982984158,-3.6240154587699656,-3.6294755720280563,-3.4137051046086766
all,2.5,WITCHGLOBIOM42,-3.3146427557051883,-3.4125851603220423,-3.4186425925692414,-3.420191150237321
all,2.5,price0,-0.7127848981044613,-0.6992094556696588,-0.7111122338327859,-0.6767986769300537
all,2.5,price014,-1.254829069226917,-1.2653340422270003,-1.2925797324102308,-1.2655432123157924
all,2.5,price03,-2.7499055898237046,-2.9077086818884257,-3.001111496497528,-3.063816266923624
all,3.0,MERGEETL60,-0.7610324687023526,-0.7281840641881894,-0.722286235582379,-0.6608132269071566
all,3.0,REMIND17,-3.0502185260992407,-2.9923388546694576,-2.9884041911053836,-2.843958622690733
all,3.0,REMIND17CEMICS,-2.9512355069564906,-2.8910242312214445,-2.88932831052285,-2.739608572176496
all,3.0,REMINDMAgPIE1730,-2.965489128587506,-2.888062378974804,-2.894825073455569,-2.716257386357876
all,3.0,WITCHGLOBIOM42,-2.6212478770802847,-2.666020877724246,-2.665634295223803,-2.6608754238967487
all,3.0,price0,-0.622751082230237,-0.6056494728261218,-0.6142840650574328,-0.5810840343498342
all,3.0,price014,-1.0484980011764777,-1.0395023150258813,-1.056261439721137,-1.0216927909271445
all,3.0,price03,-2.151971538668967,-2.21446871746669,-2.2652834340614443,-2.273860448986801
all,5.0,MERGEETL60,-0.4003327463521155,-0.38144867549199174,-0.38237394375291134,-0.3553840383726123
all,5.0,REMIND17,-1.640076400093675,-1.5891205189783482,-1.5934170832245582,-1.5173792339184842
all,5.0,REMIND17CEMICS,-1.5740593745849158,-1.5217157568974466,-1.5276369621290415,-1.4473294118688995
all,5.0,REMINDMAgPIE1730,-1.6077244002442923,-1.5447462992645582,-1.5553734531123098,-1.4553796743101097
all,5.0,WITCHGLOBIOM42,-1.3685640547833096,-1.361056585196139,-1.3608086045103005,-1.3448453211189189
all,5.0,price0,-0.4120549943397111,-0.39756337833571553,-0.4017979372700886,-0.37920773056938484
all,5.0,price014,-0.6194781547909701,-0.5998654223441447,-0.6052597595520243,-0.57523646280319
all,5.0,price03,-1.0622669406134315,-1.0399537287187848,-1.0484672706471105,-1.0115768437401134
post2100,1.0,MERGEETL60,-1.6096869884627594,-1.6948074085241025,-1.6474827173931794,-1.3987518039271474
post2100,1.0,REMIND17,-5.321667958443632,-6.042791087771286,-6.1472669163865845,-5.721051536543066
post2100,1.0,REMIND17CEMICS,-5.212684383025355,-5.910164932784336,-6.007234883086475,-5.581753821088333
post2100,1.0,REMINDMAgPIE1730,-4.960005320090161,-5.6550529862492525,-5.766037014596614,-5.389444981068966
post2100,1.0,WITCHGLOBIOM42,-5.1392955566516605,-6.146323485294388,-6.4315443129248795,-6.299741192917002
post2100,1.0,price0,-0.29712554273705405,-0.4286463706580654,-0.48863367388797563,-0.5470426417731491
post2100,1.0,price014,-1.0280915349170123,-1.4897422977472505,-1.7012059463999574,-1.9092285987352051
post2100,1.0,price03,-4.171846222677236,-6.065036846031552,-6.934922054580751,-7.79695474624396
post2100,2.0,MERGEETL60,-0.4141229799302791,-0.43111131233896377,-0.41568120416999493,-0.37090764174856494
