time_cut,discrate,growth_rate,rcp26,rcp45,rcp60,rcp85
all,1.0,price014,-3.156949666267683,-2.734796799744872,-2.4852913233460896,-1.777040170792796
all,2.0,price014,-1.6926876183303863,-1.5148960585517148,-1.4460961993642745,-1.1790286072312892
all,2.5,price014,-1.3566954652285284,-1.2286395142710118,-1.1904424648781802,-1.0039404724546452
all,3.0,price014,-1.1268472656231858,-1.0305780047484887,-1.0092773034600877,-0.8716871652162507
all,5.0,price014,-0.6559867065544329,-0.6167058241089649,-0.61641102477711,-0.5618256905734021
all,rho0.01eta1,price014,-0.7862970800630056,-0.7127039119675939,-0.6897203520832225,-0.5826128132109382
all,rho0.01eta2,price014,-0.3154119624525554,-0.2940049812266731,-0.2913800116110628,-0.26205717528444905
all,rho0.01eta3,price014,-0.15037788209199138,-0.14291049885564278,-0.14277346721157386,-0.133256603719173
all,rho0.0eta1,price014,-1.4300393585964521,-1.2607101838163297,-1.17543917719311,-0.9066564060098673
all,rho0.0eta2,price014,-0.46498071762055226,-0.4263458633799629,-0.41677869336683127,-0.36209585420050777
all,rho0.0eta3,price014,-0.20179164966090668,-0.18969339722497872,-0.18861686573858455,-0.1725692511239606
post2100,1.0,price014,-1.2172213215880299,-0.9905468666352373,-0.7820339326197971,-0.33187547154789127
post2100,2.0,price014,-0.31139123508328936,-0.25621122163304066,-0.2046410079093277,-0.10223419185711763
post2100,2.5,price014,-0.17022660157347136,-0.14058122136895798,-0.11284377882299367,-0.05954525310989156
post2100,3.0,price014,-0.09653795879227012,-0.07994917757290528,-0.06445522393122083,-0.03546788727184277
post2100,5.0,price014,-0.012574834418145255,-0.010478320048834469,-0.008555816455247878,-0.005176306923172383
post2100,rho0.01eta1,price014,-0.10232435973695599,-0.0844500306252377,-0.06772533059118288,-0.03539782660137053
post2100,rho0.01eta2,price014,-0.013240961784458948,-0.011000706658448142,-0.008921359301703076,-0.005154126989189543
post2100,rho0.01eta3,price014,-0.002040779362213244,-0.0017011870057008,-0.0013904516014583597,-0.0008462721456858927
post2100,rho0.0eta1,price014,-0.4021834159819084,-0.328951230808185,-0.2609816521363511,-0.1194434048317824
post2100,rho0.0eta2,price014,-0.042370582057519646,-0.03505469052525257,-0.02821513233991349,-0.015294152334110177
post2100,rho0.0eta3,price014,-0.005868625594361033,-0.004881444434790624,-0.003968754612980817,-0.002335047527384985
pre2100,1.0,price014,-1.9397283446796532,-1.7442499331096346,-1.703257390726292,-1.4451646992449048
pre2100,2.0,price014,-1.3812963832470966,-1.258684836918674,-1.2414551914549468,-1.0767944153741713
pre2100,2.5,price014,-1.1864688636550573,-1.088058292902054,-1.0775986860551865,-0.9443952193447536
pre2100,3.0,price014,-1.0303093068309157,-0.9506288271755834,-0.9448220795288669,-0.836219277944408
pre2100,5.0,price014,-0.6434118721362878,-0.6062275040601305,-0.6078552083218621,-0.5566493836502298
pre2100,rho0.01eta1,price014,-0.6839727203260495,-0.6282538813423562,-0.6219950214920396,-0.5472149866095677
pre2100,rho0.01eta2,price014,-0.3021710006680965,-0.28300427456822497,-0.28245865230935974,-0.2569030482952595
pre2100,rho0.01eta3,price014,-0.14833710272977815,-0.14120931184994198,-0.14138301561011551,-0.13241033157348708
pre2100,rho0.0eta1,price014,-1.0278559426145435,-0.9317589530081447,-0.9144575250567589,-0.7872130011780849
pre2100,rho0.0eta2,price014,-0.4226101355630327,-0.3912911728547104,-0.38856356102691775,-0.3468017018663976
pre2100,rho0.0eta3,price014,-0.19592302406654566,-0.18481195279018808,-0.18464811112560373,-0.17023420359657562
share_post2100,1.0,price014,0.3855688085857558,0.3622012672852495,0.3146648947242532,0.18675743914096815
share_post2100,2.0,price014,0.18396261171357528,0.16912792147468264,0.141512720937439,0.08671052697965828
share_post2100,2.5,price014,0.12547149005528485,0.11442023452450086,0.09479145960619033,0.05931153762961939
share_post2100,3.0,price014,0.0856708462072553,0.07757702687669603,0.06386274982133266,0.04068877997422824
share_post2100,5.0,price014,0.019169343360926492,0.016990791458754033,0.013880050990881618,0.009213368149629145
share_post2100,rho0.01eta1,price014,0.13013447758035268,0.11849244715395583,0.09819244913772106,0.060757034172117586
share_post2100,rho0.01eta2,price014,0.041979897279421245,0.03741673563675703,0.030617609122795295,0.01966794835361792
share_post2100,rho0.01eta3,price014,0.013571007476783244,0.011903863042415159,0.009738865551243288,0.006350695740898062
share_post2100,rho0.0eta1,price014,0.2812394033522555,0.26092533798085765,0.22202905705385984,0.13174054034145596
share_post2100,rho0.0eta2,price014,0.09112330996077171,0.08222125165551693,0.06769811602408309,0.04223785540952689
share_post2100,rho0.0eta3,price014,0.029082598830143608,0.025733338672833037,0.02104135596485498,0.013531075276601072
