time_cut,discrate,growth_rate,rcp26,rcp45,rcp60,rcp85
all,1.0,MERGEETL60,-4.595949882519469,-5.5622423367255145,-5.968653088577292,-5.7958371702025575
all,1.0,REMIND17,-12.088766105506657,-15.453570036751273,-17.10659269087356,-18.02199153147743
all,1.0,REMIND17CEMICS,-12.250100870024696,-15.257850471612247,-16.68394542820656,-17.240311960341003
all,1.0,REMINDMAgPIE1730,-11.400371760722422,-14.490251378888741,-16.046127107924505,-16.848550911085095
all,1.0,WITCHGLOBIOM42,-9.736665720218982,-14.176236554452048,-16.453275183930813,-18.801287674088833
all,1.0,price0,-0.18309832756074662,-0.7693874479368904,-1.1962360958615716,-1.8692067096206486
all,1.0,price014,-0.5674227642129479,-2.854467428143017,-4.32397990503639,-6.462613105648806
all,1.0,price03,-4.440115665170207,-14.657648138438336,-20.729198545099962,-28.640358370255658
all,2.0,MERGEETL60,-1.561967173034036,-1.6802414748557188,-1.7348923149105304,-1.6724034773651155
all,2.0,REMIND17,-5.248362253991975,-5.717072868182305,-5.961550806507866,-6.026471814580427
all,2.0,REMIND17CEMICS,-5.189645217798702,-5.597629905686899,-5.80584737309717,-5.801478422559195
all,2.0,REMINDMAgPIE1730,-5.035964570165303,-5.4416947432146285,-5.682130647656811,-5.689881780857997
all,2.0,WITCHGLOBIOM42,-4.4385182851271665,-5.191146454838925,-5.54162002901686,-5.992783508766944
all,2.0,price0,-0.6417054541171906,-0.718691674890694,-0.7969755443034137,-0.8771013248191808
all,2.0,price014,-1.1686619530421776,-1.5253500881232798,-1.779165864086119,-2.1150388238782423
all,2.0,price03,-3.085000639770541,-4.777327595958093,-5.79765469804928,-7.2202651073282125
all,2.5,MERGEETL60,-1.0857049839338533,-1.1181299578210893,-1.1399070312548476,-1.0886323094370294
all,2.5,REMIND17,-3.9316500991406573,-4.091142985959313,-4.194037162770045,-4.159652152530396
all,2.5,REMIND17CEMICS,-3.8559772447520753,-3.9873579208982526,-4.075111250382287,-4.005698586041413
all,2.5,REMINDMAgPIE1730,-3.796230588310043,-3.9175081062805375,-4.024540939656176,-3.943865296084775
all,2.5,WITCHGLOBIOM42,-3.337353314530832,-3.6737919676607653,-3.8218643190934958,-4.030275703782058
all,2.5,price0,-0.6235495724152107,-0.6455137685572668,-0.6841851154863897,-0.7002618430331533
all,2.5,price014,-1.0791169897653135,-1.2224035191532745,-1.3403459148391133,-1.4686477429380391
all,2.5,price03,-2.486458736236672,-3.229000504278028,-3.690533449456516,-4.327505383075803
all,3.0,MERGEETL60,-0.8177551388185793,-0.81706448774481,-0.826603371345255,-0.7823102159354147
all,3.0,REMIND17,-3.1088426523402233,-3.142414227869954,-3.18930029176599,-3.116927219823346
all,3.0,REMIND17CEMICS,-3.0302895559149463,-3.0497331145390714,-3.090478812277641,-2.998427295352421
all,3.0,REMINDMAgPIE1730,-3.0161059326136304,-3.0230816952614474,-3.076686964409874,-2.9650987449051613
all,3.0,WITCHGLOBIOM42,-2.633214561849793,-2.788215919727616,-2.8534136162715744,-2.9488331742942875
all,3.0,price0,-0.5786015724795237,-0.5781461364437213,-0.5993960619960846,-0.5899084399842812
all,3.0,price014,-0.9630409009747932,-1.0158146112917323,-1.0749719906684072,-1.1141864944663962
all,3.0,price03,-2.026841730416101,-2.3602013268242934,-2.5818826732688134,-2.866363529629598
all,5.0,MERGEETL60,-0.4028026550350398,-0.3863747383996026,-0.3884796929926805,-0.3634036905376922
all,5.0,REMIND17,-1.6402418482416552,-1.5958201456566872,-1.6036578108189041,-1.533630578143579
all,5.0,REMIND17CEMICS,-1.5762971043636331,-1.5295716375837551,-1.5383409510878598,-1.4628764662968854
all,5.0,REMINDMAgPIE1730,-1.6062381553020146,-1.549367173553728,-1.5632166269862748,-1.4689255959058887
all,5.0,WITCHGLOBIOM42,-1.3669683295950301,-1.3670851567240063,-1.3713523071794222,-1.3631161046593079
all,5.0,price0,-0.40692639451685747,-0.39369529827934563,-0.3988573881642586,-0.3780161067644996
all,5.0,price014,-0.6108761196799567,-0.5957163748885292,-0.6041490458758693,-0.5796351175385431
all,5.0,price03,-1.0507171889732758,-1.0474445788364368,-1.0679002092684147,-1.0521550710627523
all,rho0.01eta1,MERGEETL60,-1.5764457116940105,-1.8096718802392038,-1.906957692562878,-1.853037713769214
all,rho0.01eta1,REMIND17,-4.675576360330041,-5.518544969330581,-5.929852226359946,-6.148667152722169
all,rho0.01eta1,REMIND17CEMICS,-4.680809805651381,-5.430075431649677,-5.7825095645828934,-5.90235246857892
all,rho0.01eta1,REMINDMAgPIE1730,-4.443753706807897,-5.208203744762845,-5.5997184871106,-5.772704884533708
all,rho0.01eta1,WITCHGLOBIOM42,-3.8868586356194488,-5.058552535581044,-5.636922705922952,-6.297054572252032
all,rho0.01eta1,price0,-0.31407047297503465,-0.45991642742131,-0.5746309822084833,-0.7400524261147017
all,rho0.01eta1,price014,-0.6324155568252406,-1.2230971234020107,-1.6114639373771915,-2.1723851114436177
all,rho0.01eta1,price03,-2.279064446920478,-4.95458331492889,-6.545974403190182,-8.706142556817213
all,rho0.01eta2,MERGEETL60,-0.6691661891657896,-0.7315421053766975,-0.7582494355508242,-0.7348536562340356
all,rho0.01eta2,REMIND17,-2.191379126846676,-2.430758112024856,-2.549400554356977,-2.5994137146002414
all,rho0.01eta2,REMIND17CEMICS,-2.1713473880477148,-2.3816623725288926,-2.482575568123454,-2.5000198221015655
all,rho0.01eta2,REMINDMAgPIE1730,-2.096490516849456,-2.3079642929077417,-2.4232391082974996,-2.4507154381062635
all,rho0.01eta2,WITCHGLOBIOM42,-1.8545592570377103,-2.2179451955656075,-2.388824715402186,-2.6059783568342376
all,rho0.01eta2,price0,-0.24324758334128926,-0.28369853063641587,-0.32030849166069014,-0.364834612431981
