time_cut,discrate,growth_rate,rcp26,rcp45,rcp60,rcp85
all,1.0,MERGEETL60,-2.8413227860359678,-2.851079614228114,-2.839851242443002,-2.477482542476175
all,1.0,REMIND17,-11.333097972791592,-11.728414745778627,-11.813022065500029,-10.815194537536975
all,1.0,REMIND17CEMICS,-11.171400723197909,-11.525141852089645,-11.580180047410888,-10.551211119910846
all,1.0,REMINDMAgPIE1730,-10.833510087349511,-11.169551801779697,-11.279207637249959,-10.265746623164015
all,1.0,WITCHGLOBIOM42,-10.458652286032725,-11.333703032615936,-11.547229200922114,-11.12914148955122
all,1.0,price0,-1.5104520004283057,-1.5663023477640463,-1.651846368599036,-1.5559805533191793
all,1.0,price014,-3.1497810595040034,-3.4822015186000392,-3.7077375309770497,-3.6802157960224084
all,1.0,price03,-8.667523447963793,-10.277766676884134,-11.084369182549514,-11.506161988818096
all,2.0,MERGEETL60,-1.3923047154981076,-1.3397331022406933,-1.3436229711726602,-1.1760084365207988
all,2.0,REMIND17,-5.590034586969646,-5.522708245400895,-5.556605371352728,-5.097170725516577
all,2.0,REMIND17CEMICS,-5.443051762754789,-5.367637075984865,-5.392988748494794,-4.935586928382821
all,2.0,REMINDMAgPIE1730,-5.405458332359781,-5.305878892970323,-5.356479992857919,-4.855055352443384
all,2.0,WITCHGLOBIOM42,-4.915173931954933,-5.060844489271438,-5.103743936794685,-4.948442150717765
all,2.0,price0,-1.0279938793502739,-0.99904368239212,-1.037030329102583,-0.9283689731755301
all,2.0,price014,-1.8194497028138852,-1.83366658893011,-1.9045086494593961,-1.7908490316664636
all,2.0,price03,-4.088269984806671,-4.360415703259902,-4.556035574569774,-4.546835867707436
all,2.5,MERGEETL60,-1.0885484323708778,-1.0347427211968827,-1.0430630201408522,-0.90849468134112
all,2.5,REMIND17,-4.370295083380615,-4.2580659759642545,-4.293539598404641,-3.916763167854068
all,2.5,REMIND17CEMICS,-4.233073406987083,-4.117366276047217,-4.147114389117094,-3.7773557927115147
all,2.5,REMINDMAgPIE1730,-4.2440213711304,-4.1049494412354495,-4.154355404353096,-3.736409941575067
all,2.5,WITCHGLOBIOM42,-3.7679296291391347,-3.81589287867006,-3.8443267258894043,-3.70819405232524
all,2.5,price0,-0.8959240670319185,-0.8589208321891332,-0.8897123462549801,-0.7839468205059595
all,2.5,price014,-1.5016422074608757,-1.4770192190668194,-1.5265031837722949,-1.4032574774966666
all,2.5,price03,-3.1167119041466607,-3.2089540441752176,-3.3230093057632173,-3.2369668061627395
all,3.0,MERGEETL60,-0.89072465526187,-0.8401000737352041,-0.8511155389253043,-0.7372493873945787
all,3.0,REMIND17,-3.571796831215904,-3.4477352711030247,-3.4861042393280774,-3.160194094129179
all,3.0,REMIND17CEMICS,-3.4436750200619257,-3.318370753665334,-3.352313922006437,-3.0359400606198728
all,3.0,REMINDMAgPIE1730,-3.4798720080354704,-3.3326750705910086,-3.3828490470790267,-3.01853967568516
all,3.0,WITCHGLOBIOM42,-3.0311862536575105,-3.033333417260184,-3.0575409370297453,-2.928513028728619
all,3.0,price0,-0.796540257421813,-0.7578090591994175,-0.784557041026886,-0.6837659654514047
all,3.0,price014,-1.2793774108808895,-1.2390331269000339,-1.277701328293711,-1.1538155000772428
all,3.0,price03,-2.4852997111445405,-2.4938745366939226,-2.568561674526806,-2.4456834577948077
all,5.0,MERGEETL60,-0.5136907243263528,-0.4804284734237518,-0.4937536860725862,-0.42224849883679244
all,5.0,REMIND17,-2.0464909163308116,-1.9496447063837807,-1.9908832685306161,-1.774382336019487
all,5.0,REMIND17CEMICS,-1.9455833304983916,-1.8498179509553168,-1.887626510873536,-1.6833000580433084
all,5.0,REMINDMAgPIE1730,-2.0052213381538224,-1.8939116805392426,-1.94191207132442,-1.6996784156534748
all,5.0,WITCHGLOBIOM42,-1.6821394810219974,-1.6466092698752712,-1.670982013208673,-1.5592292223893784
all,5.0,price0,-0.555971073207257,-0.5251311522363405,-0.5446664636582883,-0.4666925659474717
all,5.0,price014,-0.8045462858402911,-0.762706963554517,-0.787068452274061,-0.6865522921676094
all,5.0,price03,-1.3138236606849407,-1.2586215048610254,-1.2910460260871381,-1.159085697322527
all,rho0.01eta1,MERGEETL60,-1.7145587296326905,-1.6859244075883517,-1.6823016452487096,-1.4764266732109335
all,rho0.01eta1,REMIND17,-6.871477797297142,-6.952196156376169,-6.989673889715629,-6.431493157677089
all,rho0.01eta1,REMIND17CEMICS,-6.731976526902185,-6.79561214989433,-6.818643746826125,-6.252999545842889
all,rho0.01eta1,REMINDMAgPIE1730,-6.600267822140795,-6.644822446355221,-6.699844717956729,-6.1131764853359165
all,rho0.01eta1,WITCHGLOBIOM42,-6.215194274867294,-6.568635412660928,-6.652769773153196,-6.452048616469234
all,rho0.01eta1,price0,-1.0781083804159801,-1.079009271731996,-1.1269060329572718,-1.0363798997961584
all,rho0.01eta1,price014,-2.063583256878523,-2.1752187444179443,-2.284387103043363,-2.217010307299451
all,rho0.01eta1,price03,-5.159466976700711,-5.81645216443822,-6.173982136340953,-6.326254478504023
all,rho0.01eta2,MERGEETL60,-1.116494890089676,-1.0810777931986009,-1.0823929329268118,-0.9508597039003536
all,rho0.01eta2,REMIND17,-4.488195260575417,-4.462469407929959,-4.487343122257125,-4.1287801406414495
all,rho0.01eta2,REMIND17CEMICS,-4.369485386550173,-4.336905334481305,-4.353646137120066,-3.9976480974811444
all,rho0.01eta2,REMINDMAgPIE1730,-4.32814837203539,-4.278378043169297,-4.315569890047407,-3.9294312679022787
all,rho0.01eta2,WITCHGLOBIOM42,-3.986061494290075,-4.1278447833109455,-4.166700860697244,-4.041706737159246
all,rho0.01eta2,price0,-0.8072029419365876,-0.7905854151069057,-0.8212052367681895,-0.7412245402268289
all,rho0.01eta2,price014,-1.4394668214243649,-1.4666785003737166,-1.5262494515285836,-1.4487201642557186
all,rho0.01eta2,price03,-3.295589483419998,-3.564177601987244,-3.736439430371772,-3.761769688633148
all,rho0.01eta3,MERGEETL60,-0.771505984485079,-0.739080597817495,-0.7430247749413579,-0.6517598419418279
all,rho0.01eta3,REMIND17,-3.106622482593029,-3.0501947556600744,-3.0716768250879998,-2.8184885327243974
all,rho0.01eta3,REMIND17CEMICS,-3.0054163106570884,-2.946623751854995,-2.9627808360022634,-2.716409692598754
all,rho0.01eta3,REMINDMAgPIE1730,-3.0046275895700916,-2.9312931287788904,-2.961488546398967,-2.685212078104257
all,rho0.01eta3,WITCHGLOBIOM42,-2.716746430044466,-2.769187579754918,-2.791656116426609,-2.6975754073018767
all,rho0.01eta3,price0,-0.6258124709722875,-0.6052856499824649,-0.6269737433006966,-0.558402172440607
all,rho0.01eta3,price014,-1.052316409157162,-1.047743926787474,-1.0842358702146822,-1.009437429625682
all,rho0.01eta3,price03,-2.2255253476372943,-2.3297551458545285,-2.4203445321049673,-2.3897818777543516
all,rho0.0eta1,MERGEETL60,-4.4790317344374095,-4.646098693944788,-4.631945374897046,-3.971594652943272
all,rho0.0eta1,REMIND17,-17.719075804767442,-19.025191081793324,-19.276475595027154,-17.364647018910627
all,rho0.0eta1,REMIND17CEMICS,-17.586919444345895,-18.795957353479345,-18.98250949803908,-16.98906407365599
all,rho0.0eta1,REMINDMAgPIE1730,-16.810476501622524,-18.023349989555193,-18.300611591898356,-16.45221564333489
all,rho0.0eta1,WITCHGLOBIOM42,-16.82158268684271,-18.941813068116208,-19.524533321474863,-18.464086859454362
all,rho0.0eta1,price0,-1.8412046141211884,-2.064054651015634,-2.2247949357559205,-2.175146017704307
all,rho0.0eta1,price014,-4.386419683517185,-5.284891020679168,-5.77084051582114,-5.873594635597133
all,rho0.0eta1,price03,-13.761832474150516,-17.637162726830628,-19.4945640072661,-20.39182657149285
all,rho0.0eta2,MERGEETL60,-2.392480027370624,-2.421834359098762,-2.4111915165437448,-2.100782282882128
all,rho0.0eta2,REMIND17,-9.533326344779114,-9.958653704258909,-10.039462089009454,-9.177953773996084
all,rho0.0eta2,REMIND17CEMICS,-9.406545856517912,-9.793579116277566,-9.846370974957866,-8.956881270388084
all,rho0.0eta2,REMINDMAgPIE1730,-9.089497019710045,-9.46680044835006,-9.566362895283486,-8.705998250513602
all,rho0.0eta2,WITCHGLOBIOM42,-8.881293027806784,-9.71136705334807,-9.91933624259911,-9.528466435345672
all,rho0.0eta2,price0,-1.2084487918076323,-1.2745615821432617,-1.3495107144865868,-1.2847411136120326
all,rho0.0eta2,price014,-2.580412718659455,-2.9110722658134915,-3.1163121910418115,-3.1201276820336092
all,rho0.0eta2,price03,-7.31770014862097,-8.848715376879623,-9.598312313777342,-10.009281620907228
all,rho0.0eta3,MERGEETL60,-1.4156098334831093,-1.4027792807399906,-1.3981718812652553,-1.2287300183251741
all,rho0.0eta3,REMIND17,-5.673124379400528,-5.786306338688595,-5.818345764678674,-5.3587151700397575
all,rho0.0eta3,REMIND17CEMICS,-5.5609650209293555,-5.658705077677454,-5.677092253953216,-5.21106633525724
all,rho0.0eta3,REMINDMAgPIE1730,-5.434531203164432,-5.519540835807136,-5.564717445317116,-5.08966580455345
all,rho0.0eta3,WITCHGLOBIOM42,-5.182009798361668,-5.518674610739364,-5.599217658131613,-5.423276267900263
all,rho0.0eta3,price0,-0.8582946321188406,-0.8691495378859053,-0.9096620944008247,-0.8446867549571744
all,rho0.0eta3,price014,-1.6679700832095368,-1.7859253911598465,-1.88251329720478,-1.8445447564757473
all,rho0.0eta3,price03,-4.277188692007083,-4.905952117187674,-5.232591682485431,-5.398649746743628
post2100,1.0,MERGEETL60,-1.4146578504571499,-1.5330187167810945,-1.5173283408268272,-1.3380515071276637
post2100,1.0,REMIND17,-5.463474047196057,-6.153416755121231,-6.231012819750454,-5.748445173728389
post2100,1.0,REMIND17CEMICS,-5.488691776141412,-6.133087189227039,-6.182116990912918,-5.653408246026941
post2100,1.0,REMINDMAgPIE1730,-5.1184780683593925,-5.781980172558114,-5.864841636548619,-5.428179305398393
post2100,1.0,WITCHGLOBIOM42,-5.420109162619078,-6.370536386625755,-6.605375524629998,-6.366303199405544
post2100,1.0,price0,-0.29642913064299403,-0.42603719269292784,-0.4849565572566376,-0.5418349680123333
post2100,1.0,price014,-1.0553987685831845,-1.4978233927077482,-1.6963041038752402,-1.8816652915726104
post2100,1.0,price03,-4.319591281713603,-6.0926261690141486,-6.882575887961526,-7.607219843135246
post2100,2.0,MERGEETL60,-0.3642134500234547,-0.3893258935978756,-0.38174607235987396,-0.3526752116671718
post2100,2.0,REMIND17,-1.4080207594755292,-1.5594234036295802,-1.5620800338654344,-1.5046752742896519
post2100,2.0,REMIND17CEMICS,-1.4142243055728267,-1.5549360074321967,-1.5509217544678475,-1.4817678601195696
post2100,2.0,REMINDMAgPIE1730,-1.3192138562174738,-1.465058894289244,-1.4698965108181035,-1.420152652933179
